,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
0,10000,0.0,1.0,2,250,random_uniform,50,0.0,0.0,False,3732.670166015625,-0.01701624765877012,0.6629027561304062,0.07269458293914793,-0.0283433198928833,0.0,0.02,0.04,0.08,0.1
1,10000,0.0,1.0,2,250,NCE_Q,50,0.0,0.0,False,4809.83203125,0.04102351272805719,0.2934961724039636,0.09630739688873291,0.007944166660308838,0.01,0.03,0.05,0.05,0.12
4,10000,0.25,1.0,2,250,random_uniform,50,0.0,0.01220703125,False,3770.585205078125,-0.0067309247107144,1.3332964233769729e-08,0.30225544452667236,-0.18463075160980225,0.02,0.08,0.18,0.26,0.37
5,10000,0.25,1.0,2,250,NCE_Q,50,0.0,0.01220703125,False,4555.14990234375,-0.01767005507849498,2.3847872251382527e-18,0.4424151420593262,-0.25353294610977173,0.11,0.19,0.26,0.39,0.52
6,10000,0.5,1.0,2,250,random_uniform,50,0.0,0.048828125,False,3763.065185546875,0.001077749473085368,2.574619649808233e-132,0.9520159578323364,-0.4967664694413543,0.88,0.96,0.97,0.98,0.99
7,10000,0.5,1.0,2,250,NCE_Q,50,0.0,0.048828125,False,4788.50927734375,0.03586251120105553,4.229721403741043e-180,0.9840319156646729,-0.4997205591062084,0.97,0.99,1.0,1.0,1.0
2,10000,4.0,1.0,2,250,random_uniform,50,0.0,3.125,False,3753.775146484375,0.011168090759088735,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
3,10000,4.0,1.0,2,250,NCE_Q,50,0.0,3.125,False,4741.095703125,-0.009092349900366958,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
8,10000,1.0,1.0,2,250,random_uniform,50,0.0,0.1953125,False,3774.1259765625,-0.023097016770637184,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
9,10000,1.0,1.0,2,250,NCE_Q,50,0.0,0.1953125,False,4626.837890625,0.014864159283324206,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
10,10000,2.0,1.0,2,250,random_uniform,50,0.0,0.78125,False,3733.767822265625,0.010258475670373557,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
11,10000,2.0,1.0,2,250,NCE_Q,50,0.0,0.78125,False,4721.16064453125,-0.00477653960880835,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
